"pokedex_number","name","generation","is_legendary","is_mythical","species","type_1","type_2","height_m","weight_kg","hp","attack","defense","sp_attack","sp_defense","speed"
"51","Alolan Dugtrio","1","0","0","Mole Pokémon","Ground","Steel","0.7","66.6","35","100","60","50","70","110"
"52","Meowth","1","0","0","Scratch Cat Pokémon","Normal","","0.4","4.2","40","45","35","40","40","90"
"52","Alolan Meowth","1","0","0","Scratch Cat Pokémon","Dark","","0.4","4.2","40","35","35","50","40","90"
"52","Galarian Meowth","1","0","0","Scratch Cat Pokémon","Steel","","0.4","7.5","50","65","55","40","40","40"
"53","Persian","1","0","0","Classy Cat Pokémon","Normal","","1","32","65","70","60","65","65","115"
"53","Alolan Persian","1","0","0","Classy Cat Pokémon","Dark","","1.1","33","65","60","60","75","65","115"
"54","Psyduck","1","0","0","Duck Pokémon","Water","","0.8","19.6","50","52","48","65","50","55"
"55","Golduck","1","0","0","Duck Pokémon","Water","","1.7","76.6","80","82","78","95","80","85"
"56","Mankey","1","0","0","Pig Monkey Pokémon","Fighting","","0.5","28","40","80","35","35","45","70"
"57","Primeape","1","0","0","Pig Monkey Pokémon","Fighting","","1","32","65","105","60","60","70","95"
"58","Growlithe","1","0","0","Puppy Pokémon","Fire","","0.7","19","55","70","45","70","50","60"
"59","Arcanine","1","0","0","Legendary Pokémon","Fire","","1.9","155","90","110","80","100","80","95"
"60","Poliwag","1","0","0","Tadpole Pokémon","Water","","0.6","12.4","40","50","40","40","40","90"
"61","Poliwhirl","1","0","0","Tadpole Pokémon","Water","","1","20","65","65","65","50","50","90"
"62","Poliwrath","1","0","0","Tadpole Pokémon","Water","Fighting","1.3","54","90","95","95","70","90","70"
"63","Abra","1","0","0","Psi Pokémon","Psychic","","0.9","19.5","25","20","15","105","55","90"
"64","Kadabra","1","0","0","Psi Pokémon","Psychic","","1.3","56.5","40","35","30","120","70","105"
"65","Alakazam","1","0","0","Psi Pokémon","Psychic","","1.5","48","55","50","45","135","95","120"
"65","Mega Alakazam","1","0","0","Psi Pokémon","Psychic","","1.2","48","55","50","65","175","105","150"
"66","Machop","1","0","0","Superpower Pokémon","Fighting","","0.8","19.5","70","80","50","35","35","35"
"67","Machoke","1","0","0","Superpower Pokémon","Fighting","","1.5","70.5","80","100","70","50","60","45"
"68","Machamp","1","0","0","Superpower Pokémon","Fighting","","1.6","130","90","130","80","65","85","55"
"69","Bellsprout","1","0","0","Flower Pokémon","Grass","Poison","0.7","4","50","75","35","70","30","40"
"70","Weepinbell","1","0","0","Flycatcher Pokémon","Grass","Poison","1","6.4","65","90","50","85","45","55"
"71","Victreebel","1","0","0","Flycatcher Pokémon","Grass","Poison","1.7","15.5","80","105","65","100","70","70"
"72","Tentacool","1","0","0","Jellyfish Pokémon","Water","Poison","0.9","45.5","40","40","35","50","100","70"
"73","Tentacruel","1","0","0","Jellyfish Pokémon","Water","Poison","1.6","55","80","70","65","80","120","100"
"74","Geodude","1","0","0","Rock Pokémon","Rock","Ground","0.4","20","40","80","100","30","30","20"
"74","Alolan Geodude","1","0","0","Rock Pokémon","Rock","Electric","0.4","20.3","40","80","100","30","30","20"
"75","Graveler","1","0","0","Rock Pokémon","Rock","Ground","1","105","55","95","115","45","45","35"
"75","Alolan Graveler","1","0","0","Rock Pokémon","Rock","Electric","1","110","55","95","115","45","45","35"
"76","Golem","1","0","0","Megaton Pokémon","Rock","Ground","1.4","300","80","120","130","55","65","45"
"76","Alolan Golem","1","0","0","Megaton Pokémon","Rock","Electric","1.7","316","80","120","130","55","65","45"
"77","Ponyta","1","0","0","Fire Horse Pokémon","Fire","","1","30","50","85","55","65","65","90"
"77","Galarian Ponyta","1","0","0","Unique Horn Pokémon","Psychic","","0.8","24","50","85","55","65","65","90"
"78","Rapidash","1","0","0","Fire Horse Pokémon","Fire","","1.7","95","65","100","70","80","80","105"
"78","Galarian Rapidash","1","0","0","Unique Horn Pokémon","Psychic","Fairy","1.7","80","65","100","70","80","80","105"
"79","Slowpoke","1","0","0","Dopey Pokémon","Water","Psychic","1.2","36","90","65","65","40","40","15"
"80","Slowbro","1","0","0","Hermit Crab Pokémon","Water","Psychic","1.6","78.5","95","75","110","100","80","30"
"80","Mega Slowbro","1","0","0","Hermit Crab Pokémon","Water","Psychic","2","120","95","75","180","130","80","30"
"81","Magnemite","1","0","0","Magnet Pokémon","Electric","Steel","0.3","6","25","35","70","95","55","45"
"82","Magneton","1","0","0","Magnet Pokémon","Electric","Steel","1","60","50","60","95","120","70","70"
"83","Farfetch'd","1","0","0","Wild Duck Pokémon","Normal","Flying","0.8","15","52","90","55","58","62","60"
"83","Galarian Farfetch'd","1","0","0","Wild Duck Pokémon","Fighting","","0.8","42","52","95","55","58","62","55"
"84","Doduo","1","0","0","Twin Bird Pokémon","Normal","Flying","1.4","39.2","35","85","45","35","35","75"
"85","Dodrio","1","0","0","Triple Bird Pokémon","Normal","Flying","1.8","85.2","60","110","70","60","60","110"
"86","Seel","1","0","0","Sea Lion Pokémon","Water","","1.1","90","65","45","55","45","70","45"
"87","Dewgong","1","0","0","Sea Lion Pokémon","Water","Ice","1.7","120","90","70","80","70","95","70"
"88","Grimer","1","0","0","Sludge Pokémon","Poison","","0.9","30","80","80","50","40","50","25"
"88","Alolan Grimer","1","0","0","Sludge Pokémon","Poison","Dark","0.7","42","80","80","50","40","50","25"
"89","Muk","1","0","0","Sludge Pokémon","Poison","","1.2","30","105","105","75","65","100","50"
"89","Alolan Muk","1","0","0","Sludge Pokémon","Poison","Dark","1","52","105","105","75","65","100","50"
"90","Shellder","1","0","0","Bivalve Pokémon","Water","","0.3","4","30","65","100","45","25","40"
"91","Cloyster","1","0","0","Bivalve Pokémon","Water","Ice","1.5","132.5","50","95","180","85","45","70"
"92","Gastly","1","0","0","Gas Pokémon","Ghost","Poison","1.3","0.1","30","35","30","100","35","80"
"93","Haunter","1","0","0","Gas Pokémon","Ghost","Poison","1.6","0.1","45","50","45","115","55","95"
"94","Gengar","1","0","0","Shadow Pokémon","Ghost","Poison","1.5","40.5","60","65","60","130","75","110"
"94","Mega Gengar","1","0","0","Shadow Pokémon","Ghost","Poison","1.4","40.5","60","65","80","170","95","130"
"95","Onix","1","0","0","Rock Snake Pokémon","Rock","Ground","8.8","210","35","45","160","30","45","70"
"96","Drowzee","1","0","0","Hypnosis Pokémon","Psychic","","1","32.4","60","48","45","43","90","42"
"97","Hypno","1","0","0","Hypnosis Pokémon","Psychic","","1.6","75.6","85","73","70","73","115","67"
"98","Krabby","1","0","0","River Crab Pokémon","Water","","0.4","6.5","30","105","90","25","25","50"
"99","Kingler","1","0","0","Pincer Pokémon","Water","","1.3","60","55","130","115","50","50","75"
"100","Voltorb","1","0","0","Ball Pokémon","Electric","","0.5","10.4","40","30","50","55","55","100"
"101","Electrode","1","0","0","Ball Pokémon","Electric","","1.2","66.6","60","50","70","80","80","150"
"102","Exeggcute","1","0","0","Egg Pokémon","Grass","Psychic","0.4","2.5","60","40","80","60","45","40"
"103","Exeggutor","1","0","0","Coconut Pokémon","Grass","Psychic","2","120","95","95","85","125","75","55"
"103","Alolan Exeggutor","1","0","0","Coconut Pokémon","Grass","Dragon","10.9","415.6","95","105","85","125","75","45"
"104","Cubone","1","0","0","Lonely Pokémon","Ground","","0.4","6.5","50","50","95","40","50","35"
"105","Marowak","1","0","0","Bone Keeper Pokémon","Ground","","1","45","60","80","110","50","80","45"
"105","Alolan Marowak","1","0","0","Bone Keeper Pokémon","Fire","Ghost","1","34","60","80","110","50","80","45"
"106","Hitmonlee","1","0","0","Kicking Pokémon","Fighting","","1.5","49.8","50","120","53","35","110","87"
"107","Hitmonchan","1","0","0","Punching Pokémon","Fighting","","1.4","50.2","50","105","79","35","110","76"
"108","Lickitung","1","0","0","Licking Pokémon","Normal","","1.2","65.5","90","55","75","60","75","30"
"109","Koffing","1","0","0","Poison Gas Pokémon","Poison","","0.6","1","40","65","95","60","45","35"
"110","Weezing","1","0","0","Poison Gas Pokémon","Poison","","1.2","9.5","65","90","120","85","70","60"
"110","Galarian Weezing","1","0","0","Poison Gas Pokémon","Poison","Fairy","3","16","65","90","120","85","70","60"
"111","Rhyhorn","1","0","0","Spikes Pokémon","Ground","Rock","1","115","80","85","95","30","30","25"
"112","Rhydon","1","0","0","Drill Pokémon","Ground","Rock","1.9","120","105","130","120","45","45","40"
"113","Chansey","1","0","0","Egg Pokémon","Normal","","1.1","34.6","250","5","5","35","105","50"
"114","Tangela","1","0","0","Vine Pokémon","Grass","","1","35","65","55","115","100","40","60"
"115","Kangaskhan","1","0","0","Parent Pokémon","Normal","","2.2","80","105","95","80","40","80","90"
"115","Mega Kangaskhan","1","0","0","Parent Pokémon","Normal","","2.2","100","105","125","100","60","100","100"
"116","Horsea","1","0","0","Dragon Pokémon","Water","","0.4","8","30","40","70","70","25","60"
"117","Seadra","1","0","0","Dragon Pokémon","Water","","1.2","25","55","65","95","95","45","85"
"118","Goldeen","1","0","0","Goldfish Pokémon","Water","","0.6","15","45","67","60","35","50","63"
"119","Seaking","1","0","0","Goldfish Pokémon","Water","","1.3","39","80","92","65","65","80","68"
"120","Staryu","1","0","0","Star Shape Pokémon","Water","","0.8","34.5","30","45","55","70","55","85"
"121","Starmie","1","0","0","Mysterious Pokémon","Water","Psychic","1.1","80","60","75","85","100","85","115"
"122","Mr. Mime","1","0","0","Barrier Pokémon","Psychic","Fairy","1.3","54.5","40","45","65","100","120","90"
"122","Galarian Mr. Mime","1","0","0","Dancing Pokémon","Psychic","Ice","1.4","56.8","50","65","65","90","90","100"
"123","Scyther","1","0","0","Mantis Pokémon","Bug","Flying","1.5","56","70","110","80","55","80","105"
"124","Jynx","1","0","0","Human Shape Pokémon","Ice","Psychic","1.4","40.6","65","50","35","115","95","95"
"125","Electabuzz","1","0","0","Electric Pokémon","Electric","","1.1","30","65","83","57","95","85","105"
"126","Magmar","1","0","0","Spitfire Pokémon","Fire","","1.3","44.5","65","95","57","100","85","93"
"127","Pinsir","1","0","0","Stag Beetle Pokémon","Bug","","1.5","55","65","125","100","55","70","85"
"127","Mega Pinsir","1","0","0","Stag Beetle Pokémon","Bug","Flying","1.7","59","65","155","120","65","90","105"
"128","Tauros","1","0","0","Wild Bull Pokémon","Normal","","1.4","88.4","75","100","95","40","70","110"
"129","Magikarp","1","0","0","Fish Pokémon","Water","","0.9","10","20","10","55","15","20","80"
"130","Gyarados","1","0","0","Atrocious Pokémon","Water","Flying","6.5","235","95","125","79","60","100","81"
"130","Mega Gyarados","1","0","0","Atrocious Pokémon","Water","Dark","6.5","305","95","155","109","70","130","81"
"131","Lapras","1","0","0","Transport Pokémon","Water","Ice","2.5","220","130","85","80","85","95","60"
"132","Ditto","1","0","0","Transform Pokémon","Normal","","0.3","4","48","48","48","48","48","48"
"133","Eevee","1","0","0","Evolution Pokémon","Normal","","0.3","6.5","55","55","50","45","65","55"
"133","Partner Eevee","1","0","0","Evolution Pokémon","Normal","","0.3","6.5","65","75","70","65","85","75"
"134","Vaporeon","1","0","0","Bubble Jet Pokémon","Water","","1","29","130","65","60","110","95","65"
"135","Jolteon","1","0","0","Lightning Pokémon","Electric","","0.8","24.5","65","65","60","110","95","130"
"136","Flareon","1","0","0","Flame Pokémon","Fire","","0.9","25","65","130","60","95","110","65"
"137","Porygon","1","0","0","Virtual Pokémon","Normal","","0.8","36.5","65","60","70","85","75","40"
"138","Omanyte","1","0","0","Spiral Pokémon","Rock","Water","0.4","7.5","35","40","100","90","55","35"
"139","Omastar","1","0","0","Spiral Pokémon","Rock","Water","1","35","70","60","125","115","70","55"
"140","Kabuto","1","0","0","Shellfish Pokémon","Rock","Water","0.5","11.5","30","80","90","55","45","55"
"141","Kabutops","1","0","0","Shellfish Pokémon","Rock","Water","1.3","40.5","60","115","105","65","70","80"
"142","Aerodactyl","1","0","0","Fossil Pokémon","Rock","Flying","1.8","59","80","105","65","60","75","130"
"142","Mega Aerodactyl","1","0","0","Fossil Pokémon","Rock","Flying","2.1","79","80","135","85","70","95","150"
"143","Snorlax","1","0","0","Sleeping Pokémon","Normal","","2.1","460","160","110","65","65","110","30"
"144","Articuno","1","0","0","Freeze Pokémon","Ice","Flying","1.7","55.4","90","85","100","95","125","85"
"145","Zapdos","1","0","0","Electric Pokémon","Electric","Flying","1.6","52.6","90","90","85","125","90","100"
"146","Moltres","1","0","0","Flame Pokémon","Fire","Flying","2","60","90","100","90","125","85","90"
"147","Dratini","1","0","0","Dragon Pokémon","Dragon","","1.8","3.3","41","64","45","50","50","50"
"148","Dragonair","1","0","0","Dragon Pokémon","Dragon","","4","16.5","61","84","65","70","70","70"
"149","Dragonite","1","0","0","Dragon Pokémon","Dragon","Flying","2.2","210","91","134","95","100","100","80"
"150","Mewtwo","1","1","0","Genetic Pokémon","Psychic","","2","122","106","110","90","154","90","130"
"150","Mega Mewtwo X","1","1","0","Genetic Pokémon","Psychic","Fighting","2.3","127","106","190","100","154","100","130"
"150","Mega Mewtwo Y","1","1","0","Genetic Pokémon","Psychic","","1.5","33","106","150","70","194","120","140"
"151","Mew","1","0","1","New Species Pokémon","Psychic","","0.4","4","100","100","100","100","100","100"
"152","Chikorita","2","0","0","Leaf Pokémon","Grass","","0.9","6.4","45","49","65","49","65","45"
"153","Bayleef","2","0","0","Leaf Pokémon","Grass","","1.2","15.8","60","62","80","63","80","60"
"154","Meganium","2","0","0","Herb Pokémon","Grass","","1.8","100.5","80","82","100","83","100","80"
"155","Cyndaquil","2","0","0","Fire Mouse Pokémon","Fire","","0.5","7.9","39","52","43","60","50","65"
"156","Quilava","2","0","0","Volcano Pokémon","Fire","","0.9","19","58","64","58","80","65","80"
"157","Typhlosion","2","0","0","Volcano Pokémon","Fire","","1.7","79.5","78","84","78","109","85","100"
"158","Totodile","2","0","0","Big Jaw Pokémon","Water","","0.6","9.5","50","65","64","44","48","43"
"159","Croconaw","2","0","0","Big Jaw Pokémon","Water","","1.1","25","65","80","80","59","63","58"
"160","Feraligatr","2","0","0","Big Jaw Pokémon","Water","","2.3","88.8","85","105","100","79","83","78"
"161","Sentret","2","0","0","Scout Pokémon","Normal","","0.8","6","35","46","34","35","45","20"
"162","Furret","2","0","0","Long Body Pokémon","Normal","","1.8","32.5","85","76","64","45","55","90"
"163","Hoothoot","2","0","0","Owl Pokémon","Normal","Flying","0.7","21.2","60","30","30","36","56","50"
"164","Noctowl","2","0","0","Owl Pokémon","Normal","Flying","1.6","40.8","100","50","50","86","96","70"
"165","Ledyba","2","0","0","Five Star Pokémon","Bug","Flying","1","10.8","40","20","30","40","80","55"
"166","Ledian","2","0","0","Five Star Pokémon","Bug","Flying","1.4","35.6","55","35","50","55","110","85"
"167","Spinarak","2","0","0","String Spit Pokémon","Bug","Poison","0.5","8.5","40","60","40","40","40","30"
"168","Ariados","2","0","0","Long Leg Pokémon","Bug","Poison","1.1","33.5","70","90","70","60","70","40"
"169","Crobat","2","0","0","Bat Pokémon","Poison","Flying","1.8","75","85","90","80","70","80","130"
"170","Chinchou","2","0","0","Angler Pokémon","Water","Electric","0.5","12","75","38","38","56","56","67"
"171","Lanturn","2","0","0","Light Pokémon","Water","Electric","1.2","22.5","125","58","58","76","76","67"
"172","Pichu","2","0","0","Tiny Mouse Pokémon","Electric","","0.3","2","20","40","15","35","35","60"
"173","Cleffa","2","0","0","Star Shape Pokémon","Fairy","","0.3","3","50","25","28","45","55","15"
"174","Igglybuff","2","0","0","Balloon Pokémon","Normal","Fairy","0.3","1","90","30","15","40","20","15"
"175","Togepi","2","0","0","Spike Ball Pokémon","Fairy","","0.3","1.5","35","20","65","40","65","20"
"176","Togetic","2","0","0","Happiness Pokémon","Fairy","Flying","0.6","3.2","55","40","85","80","105","40"
"177","Natu","2","0","0","Tiny Bird Pokémon","Psychic","Flying","0.2","2","40","50","45","70","45","70"
"178","Xatu","2","0","0","Mystic Pokémon","Psychic","Flying","1.5","15","65","75","70","95","70","95"
"179","Mareep","2","0","0","Wool Pokémon","Electric","","0.6","7.8","55","40","40","65","45","35"
"180","Flaaffy","2","0","0","Wool Pokémon","Electric","","0.8","13.3","70","55","55","80","60","45"
"181","Ampharos","2","0","0","Light Pokémon","Electric","","1.4","61.5","90","75","85","115","90","55"
"181","Mega Ampharos","2","0","0","Light Pokémon","Electric","Dragon","1.4","61.5","90","95","105","165","110","45"
"182","Bellossom","2","0","0","Flower Pokémon","Grass","","0.4","5.8","75","80","95","90","100","50"
"183","Marill","2","0","0","Aqua Mouse Pokémon","Water","Fairy","0.4","8.5","70","20","50","20","50","40"
"184","Azumarill","2","0","0","Aqua Rabbit Pokémon","Water","Fairy","0.8","28.5","100","50","80","60","80","50"
"185","Sudowoodo","2","0","0","Imitation Pokémon","Rock","","1.2","38","70","100","115","30","65","30"
"186","Politoed","2","0","0","Frog Pokémon","Water","","1.1","33.9","90","75","75","90","100","70"
"187","Hoppip","2","0","0","Cottonweed Pokémon","Grass","Flying","0.4","0.5","35","35","40","35","55","50"
"188","Skiploom","2","0","0","Cottonweed Pokémon","Grass","Flying","0.6","1","55","45","50","45","65","80"
"189","Jumpluff","2","0","0","Cottonweed Pokémon","Grass","Flying","0.8","3","75","55","70","55","95","110"
"190","Aipom","2","0","0","Long Tail Pokémon","Normal","","0.8","11.5","55","70","55","40","55","85"
"191","Sunkern","2","0","0","Seed Pokémon","Grass","","0.3","1.8","30","30","30","30","30","30"
"192","Sunflora","2","0","0","Sun Pokémon","Grass","","0.8","8.5","75","75","55","105","85","30"
"193","Yanma","2","0","0","Clear Wing Pokémon","Bug","Flying","1.2","38","65","65","45","75","45","95"
"194","Wooper","2","0","0","Water Fish Pokémon","Water","Ground","0.4","8.5","55","45","45","25","25","15"
"195","Quagsire","2","0","0","Water Fish Pokémon","Water","Ground","1.4","75","95","85","85","65","65","35"
"196","Espeon","2","0","0","Sun Pokémon","Psychic","","0.9","26.5","65","65","60","130","95","110"
"197","Umbreon","2","0","0","Moonlight Pokémon","Dark","","1","27","95","65","110","60","130","65"
"198","Murkrow","2","0","0","Royal Pokémon","Dark","Fairy","0.5","2.1","60","85","42","85","42","91"
"199","Slowking","2","0","0","Royal Pokémon","Water","Psychic","2","79.5","95","75","80","100","110","30"
"200","Misdreavus","2","0","0","Screech Pokémon","Ghost","","0.7","1","60","60","60","85","85","85"
"201","Unown","2","0","0","Symbol Pokémon","Psychic","","0.5","5","48","72","48","72","48","48"
"202","Wobbuffet","2","0","0","Patient Pokémon","Psychic","","1.3","28.5","190","33","58","33","58","33"
"203","Girafarig","2","0","0","Long Neck Pokémon","Normal","Psychic","1.5","41.5","70","80","65","90","65","85"
"204","Pineco","2","0","0","Bagworm Pokémon","Bug","","0.6","7.2","50","65","90","35","35","15"
"205","Forretress","2","0","0","Bagworm Pokémon","Bug","Steel","1.2","125.8","75","90","140","60","60","40"
"206","Dunsparce","2","0","0","Land Snake Pokémon","Normal","","1.5","14","100","70","70","65","65","45"
"207","Gligar","2","0","0","FlyScorpion Pokémon","Ground","Flying","1.1","64.8","65","75","105","35","65","85"
"208","Steelix","2","0","0","Iron Snake Pokémon","Steel","Ground","9.2","400","75","85","200","55","65","30"
"208","Mega Steelix","2","0","0","Iron Snake Pokémon","Steel","Ground","10.5","740","75","125","230","55","95","30"
"209","Snubbull","2","0","0","Fairy Pokémon","Fairy","","0.6","7.8","60","80","50","40","40","30"
"210","Granbull","2","0","0","Fairy Pokémon","Fairy","","1.4","48.7","90","120","75","60","60","45"
"211","Qwilfish","2","0","0","Balloon Pokémon","Water","Poison","0.5","3.9","65","95","85","55","55","85"
"212","Scizor","2","0","0","Pincer Pokémon","Bug","Steel","1.8","118","70","130","100","55","80","65"
"212","Mega Scizor","2","0","0","Pincer Pokémon","Bug","Steel","2","125","70","150","140","65","100","75"
"213","Shuckle","2","0","0","Mold Pokémon","Bug","Rock","0.6","20.5","20","10","230","10","230","5"
"214","Heracross","2","0","0","Single Horn Pokémon","Bug","Fighting","1.5","54","80","125","75","40","95","85"
"214","Mega Heracross","2","0","0","Single Horn Pokémon","Bug","Fighting","1.7","62.5","80","185","115","40","105","75"
"215","Sneasel","2","0","0","Sharp Claw Pokémon","Dark","Ice","0.9","28","55","95","55","35","75","115"
"216","Teddiursa","2","0","0","Little Bear Pokémon","Normal","","0.6","8.8","60","80","50","50","50","40"
"217","Ursaring","2","0","0","Hibernator Pokémon","Normal","","1.8","125.8","90","130","75","75","75","55"
"218","Slugma","2","0","0","Lava Pokémon","Fire","","0.7","35","40","40","40","70","40","20"
"219","Magcargo","2","0","0","Lava Pokémon","Fire","Rock","0.8","55","60","50","120","90","80","30"
"220","Swinub","2","0","0","Pig Pokémon","Ice","Ground","0.4","6.5","50","50","40","30","30","50"
